Name,Address,Latitude,Longitude
AAPT Glebe,"AAPT
30 Ross Street
NS 2037 Glebe
New South Wales, Australia",-33.8832274,151.1827204
AAPT Haymarket,"AAPT
187 Thomas Street
NS 2006 Haymarket
New South Wales, Australia",-33.8814912,151.2037936
PIPE Networks Sydney,"PIPE Networks Limited
13/2 Park St
NS 2000 Sydney
New South Wales, Australia",-33.8740772,151.2077698
Equinix SY10x,"Equinix
10 Grand Ave
2142 Rosehill
Australia",-33.8225496,151.0349456
DCI Sydney 03,"DCI Data Centers
1 Raceway Pl
2766 Eastern Creek
Australia",-33.8047342,150.884876
DCI Sydney 01,"DCI Data Centers
90 Peter Brock Dr
2766 Eastern Creek
NSW, Australia",-33.8047904,150.8869781
St Leonards Corporate Centre,"39 Herbert Street
2065 St Leonards
NSW, Australia",-33.8152282,151.1923548
Microsoft Azure Australia East-New South Wales,"Microsoft Azure
1 Denison Street
2060 North Sydney, NSW",-33.83838,151.208069
Kyndryl Australia Data Center,"Kyndryl Australia
George Street
2000 Sydney, NSW",-33.8707537,151.2069861
LeaseWeb Sydney SYD-11 Data Center,"LeaseWeb
Unit a/200 Bourke Road
2015 Alexandria, NSW",-33.9182536,151.1893704
The ISPT / Summit Data Centre Campus,"706-752 Mamre Road, Kemps Creek, NSW, 2178",-33.8346188,150.7869275
Microsoft Kemps Creek Datacenter ,"769 Mamre Road, Kemps Creek, NSW, 2178",-33.8359067,150.7744315
Mamre Road Data Centre Campus - KNBDC SYD4 Pty Ltd (proponent listed in NSW Investment Delivery Authority material),"706–752 Mamre Road, Kemps Creek, NSW 2178",-33.8346188,150.7869275
Goodman Project Mars / Project Atlas (depending on naming used),"Lane Cove West, NSW 2066",-33.8152,151.1521
Lane Cove Data Centre Development Project - DC Alliance,"16–20 Mars Road, Lane Cove West, NSW 2066",-33.8122342,151.1471073
NEXTDC S7 Data Centre Eastern Creek,"Eastern Creek, NSW 2766",-33.8023,150.8692
NEXTDC S4 Data Centre,"Fairfield, NSW 2165",-33.8707,150.9554
STACK Infrastructure 78 Lockwood Road Data Centre,"78 Lockwood Road, Erskine Park, NSW 2759",-33.8158603,150.8117666
